"Date & Time","Short Transaction ID","Short Group ID","Description","Credit/Debit","Kind","Is Refund","Is Refunded","Short Refund Transaction ID","Original Currency Amount","Gross Amount","Payment Processor Fee","Amount Single Column","Balance","Currency","Account Handle","Account Name","Opposite Account Handle","Opposite Account Name","Payment Processor","Payment Method","Expense Type","Expense Tags","Expense Payout Method Type","Merchant ID","Contribution Memo","Tax Amount"
"2025-11-01T22:06:27","b1e58bd0","176f4492","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-10-01T22:08:21","02edef18","15c1c39a","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-09-01T23:06:11","9dcb49b9","c4a67eeb","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-08-02T00:04:09","e0c51ecf","204a5bd9","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-07-02T01:04:02","72b93a67","88b2dead","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-06-02T01:07:20","f4f6f594","fc018ff3","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-05-02T05:06:16","fd57722b","8f8aa7d2","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-04-02T03:09:00","7f89ace6","9a30601e","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-03-02T04:07:52","32e7327a","cc63722c","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-02-02T05:07:24","8b51045f","c567a8c2","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2025-01-03T01:04:39","d78f5ceb","4e8801d6","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2024-12-02T08:09:03","bccc3df5","4a8e4912","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2024-11-02T09:08:47","a0e39deb","fafb1923","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2024-10-03T18:03:59","b2351826","6c425c95","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
"2024-08-28T15:53:18","644483be","75444496","Monthly contribution to External Secrets Org (Bronze Sponsor)","DEBIT","CONTRIBUTION","","","","-$100.00 USD",-100,0,-100,,"USD","external-secrets-inc","External Secrets Inc","external-secrets-org","External Secrets Org","STRIPE","CREDITCARD",,"",,,,0
